id,date,category,total_trades,total_volume,avg_trade_size,retail_trade_share,retail_volume_share,small_trade_share,evening_share,weekend_share,burstiness,flow_score,attention_score,retail_score,retail_level,whale_share,whale_dominated,trade_threshold,trade_threshold_method,markets_covered,quality_markets,confidence_label,confidence_score,created_at
53366,2025-07-25,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882628
53367,2025-07-25,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882629
53368,2025-07-25,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882630
53369,2025-07-26,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882630
53370,2025-07-26,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882631
53371,2025-07-26,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882632
53372,2025-07-26,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882632
53373,2025-07-27,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882633
53374,2025-07-27,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882634
53375,2025-07-27,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882634
53376,2025-07-27,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882635
53377,2025-07-28,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882636
53378,2025-07-28,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882636
53379,2025-07-28,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882637
53380,2025-07-28,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882638
53381,2025-07-29,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882638
53382,2025-07-29,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882640
53383,2025-07-29,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882641
53384,2025-07-29,all,0,0.0,,,,,,,,,,,,,False,,,0,219,insufficient,0.0,2025-12-30 20:14:13.882642
53385,2025-07-30,crypto,0,0.0,,,,,,,,,,,,,False,,,0,72,insufficient,0.0,2025-12-30 20:14:13.882642
53386,2025-07-30,politics,0,0.0,,,,,,,,,,,,,False,,,0,79,insufficient,0.0,2025-12-30 20:14:13.882643
53387,2025-07-30,sports,0,0.0,,,,,,,,,,,,,False,,,0,68,insufficient,0.0,2025-12-30 20:14:13.882644
